oewn_id	pos	dulplus_class	rule	rationale	primary_lemma	all_lemmas	gloss	pertainym_lemmas
oewn-01061474-a	a	dul:PhysicalAttribute	A4_physical_attr_keyword	gloss has physical-attribute marker	odorless	odorless|odourless|inodorous	having no odor	
oewn-01061657-s	s	dul:PhysicalAttribute	A1_satellite_inherits_head	inherited from head oewn-01061474-a	non-aromatic	non-aromatic	not aromatic	
oewn-01061728-s	s	dul:PhysicalAttribute	A1_satellite_inherits_head	inherited from head oewn-01061474-a	scentless	scentless	emitting or holding no odor	
oewn-01061878-a	a	dul:PhysicalAttribute	A4_physical_attr_keyword	gloss has physical-attribute marker	scented	scented	having the sense of smell	
oewn-01061980-a	a	dul:PhysicalAttribute	A4_physical_attr_keyword	gloss has physical-attribute marker	scentless	scentless	lacking the sense of smell	
oewn-01062062-a	a	dul:Quality	A5_adj_head_default	adj.all head default	free	free	unconstrained or not chemically bound in a molecule or not fixed and capable of relatively unrestricted motion	
oewn-01062349-s	s	dul:Quality	A1_satellite_inherits_head	inherited from head oewn-01062062-a	liberated	liberated	(of a gas e.g.) released from chemical combination	
oewn-01062455-s	s	dul:Quality	A1_satellite_inherits_head	inherited from head oewn-01062062-a	unbound	unbound	not held in chemical or physical combination	
oewn-01062553-a	a	dul:Quality	A5_adj_head_default	adj.all head default	bound	bound	held with another element, substance or material in chemical or physical union	
oewn-01062757-s	s	dul:Quality	A1_satellite_inherits_head	inherited from head oewn-01062553-a	conjugate	conjugate|conjugated	of an organic compound; containing two or more double bonds each separated from the other by a single bond	
oewn-01062951-s	s	dul:Quality	A1_satellite_inherits_head	inherited from head oewn-01062553-a	conjugate	conjugate|conjugated	formed by the union of two compounds	
oewn-01063099-a	a	dul:Quality	A5_adj_head_default	adj.all head default	fixed	fixed	securely placed or fastened or set	
oewn-01063410-s	s	dul:Quality	A1_satellite_inherits_head	inherited from head oewn-01063099-a	fast	fast|firm|immobile	securely fixed in place	
oewn-01063610-s	s	dul:Quality	A1_satellite_inherits_head	inherited from head oewn-01063099-a	geostationary	geostationary	of or having a geosynchronous orbit such that the position in such an orbit is fixed with respect to the earth	
oewn-01063809-s	s	dul:Quality	A1_satellite_inherits_head	inherited from head oewn-01063099-a	geosynchronous	geosynchronous	of or having an orbit with a fixed period of 24 hours (although the position in the orbit may not be fixed with respect to the earth)	
oewn-01064003-s	s	dul:Quality	A1_satellite_inherits_head	inherited from head oewn-01063099-a	leaded	leaded	(of panes of glass) fixed in place by means of thin strips of lead	
oewn-01064144-s	s	dul:Quality	A1_satellite_inherits_head	inherited from head oewn-01063099-a	stationary	stationary	not capable of being moved	
oewn-01064269-s	s	dul:Quality	A1_satellite_inherits_head	inherited from head oewn-01063099-a	taped	taped	secured or held in place by tape	
oewn-01064411-s	s	dul:Quality	A1_satellite_inherits_head	inherited from head oewn-01063099-a	unadjustable	unadjustable	not adjustable	
oewn-01064484-a	a	dul:Quality	A5_adj_head_default	adj.all head default	unfixed	unfixed	not firmly placed or set or fastened	
oewn-01064646-s	s	dul:Quality	A1_satellite_inherits_head	inherited from head oewn-01064484-a	detached	detached|free	not fixed in position	
oewn-01064799-s	s	dul:Quality	A1_satellite_inherits_head	inherited from head oewn-01064484-a	floating	floating	(of a part of the body) not firmly connected; movable or out of normal position	
oewn-01065009-s	s	dul:Quality	A1_satellite_inherits_head	inherited from head oewn-01064484-a	unfirm	unfirm|unsteady	not firmly or solidly positioned	
oewn-01065188-a	a	dul:Quality	A5_adj_head_default	adj.all head default	free	free	not limited or hampered; not under compulsion or restraint	
oewn-01065803-s	s	dul:Quality	A1_satellite_inherits_head	inherited from head oewn-01065188-a	at large	at large|escaped|loose|on the loose	having escaped, especially from confinement	
oewn-01066082-s	s	dul:Quality	A1_satellite_inherits_head	inherited from head oewn-01065188-a	autonomous	autonomous|independent|self-governing|sovereign	(of political bodies) not controlled by outside forces	
oewn-01066320-s	s	dul:Quality	A1_satellite_inherits_head	inherited from head oewn-01065188-a	available	available|uncommitted	not busy; not otherwise committed	
oewn-01066508-s	s	dul:Quality	A1_satellite_inherits_head	inherited from head oewn-01065188-a	aweigh	aweigh|atrip	(of an anchor) just clear of the bottom	
oewn-01066627-s	s	dul:Quality	A1_satellite_inherits_head	inherited from head oewn-01065188-a	clear	clear	free from contact or proximity or connection	
oewn-01066791-s	s	dul:Quality	A1_satellite_inherits_head	inherited from head oewn-01065188-a	emancipated	emancipated|liberated	free from traditional social restraints	
oewn-01066975-s	s	dul:Quality	A1_satellite_inherits_head	inherited from head oewn-01065188-a	footloose	footloose	free to go or do as one pleases	
oewn-01067179-s	s	dul:Quality	A1_satellite_inherits_head	inherited from head oewn-01065188-a	out-of-school	out-of-school	not attending school and therefore free to work	
oewn-01067327-s	s	dul:Quality	A1_satellite_inherits_head	inherited from head oewn-01065188-a	unconfined	unconfined|unimprisoned	free from confinement or physical restraint	
oewn-01067442-s	s	dul:Quality	A1_satellite_inherits_head	inherited from head oewn-01065188-a	unconstrained	unconstrained	free from constraint	
oewn-01067647-s	s	dul:Quality	A1_satellite_inherits_head	inherited from head oewn-01065188-a	unhampered	unhampered	not held in check or subject to control	
oewn-01067856-s	s	dul:Quality	A1_satellite_inherits_head	inherited from head oewn-01065188-a	unrestricted	unrestricted	free of restrictions on conduct	
oewn-01067975-a	a	dul:Quality	A5_adj_head_default	adj.all head default	unfree	unfree	hampered and not free; not able to act at will	
oewn-01068308-s	s	dul:Quality	A1_satellite_inherits_head	inherited from head oewn-01067975-a	adscript	adscript|adscripted	(used of persons) bound to a tract of land; hence their service is transferable from owner to owner	
oewn-01068495-s	s	dul:Quality	A1_satellite_inherits_head	inherited from head oewn-01067975-a	apprenticed	apprenticed|articled|bound|indentured	bound by contract	
oewn-01068602-s	s	dul:Quality	A1_satellite_inherits_head	inherited from head oewn-01067975-a	at bay	at bay|cornered|trapped|treed	forced to turn and face attackers	
oewn-01068815-s	s	dul:Quality	A1_satellite_inherits_head	inherited from head oewn-01067975-a	captive	captive|confined|imprisoned|jailed	being in captivity	
oewn-01069010-s	s	dul:Quality	A1_satellite_inherits_head	inherited from head oewn-01067975-a	entangled	entangled	involved in difficulties	
oewn-01069090-s	s	dul:Quality	A1_satellite_inherits_head	inherited from head oewn-01067975-a	nonautonomous	nonautonomous|nonsovereign	(of peoples and political bodies) controlled by outside forces	
oewn-01069227-s	s	dul:Quality	A1_satellite_inherits_head	inherited from head oewn-01067975-a	prisonlike	prisonlike	resembling a prison	
oewn-01069303-s	s	dul:Quality	A1_satellite_inherits_head	inherited from head oewn-01067975-a	serflike	serflike	like someone in servitude	
oewn-01069383-a	a	dul:Quality	A5_adj_head_default	adj.all head default	free	free	not held in servitude	
oewn-01069550-s	s	dul:Quality	A1_satellite_inherits_head	inherited from head oewn-01069383-a	freeborn	freeborn	born free of free parents	
oewn-01069630-s	s	dul:Quality	A1_satellite_inherits_head	inherited from head oewn-01069383-a	free-soil	free-soil|slaveless|non-slave	where slavery was prohibited	
oewn-01069759-a	a	dul:Quality	A5_adj_head_default	adj.all head default	unfree	unfree	held in servitude	
oewn-01069915-s	s	dul:Quality	A1_satellite_inherits_head	inherited from head oewn-01069759-a	servile	servile	relating to or involving slaves or appropriate for slaves or servants	
oewn-01070130-s	s	dul:Quality	A1_satellite_inherits_head	inherited from head oewn-01069759-a	slaveholding	slaveholding	allowing slavery	
oewn-01070231-a	a	dul:Quality	A5_adj_head_default	adj.all head default	frequent	frequent	coming at short intervals or habitually	
oewn-01070476-s	s	dul:Quality	A1_satellite_inherits_head	inherited from head oewn-01070231-a	prevailing	prevailing|prevalent|predominant|dominant|rife	most frequent or common	
oewn-01070692-s	s	dul:Quality	A1_satellite_inherits_head	inherited from head oewn-01070231-a	regular	regular|steady	relating to a person who does something regularly	
oewn-01070882-a	a	dul:Quality	A5_adj_head_default	adj.all head default	infrequent	infrequent	not frequent; not occurring regularly or at short intervals	
oewn-01071104-s	s	dul:Quality	A1_satellite_inherits_head	inherited from head oewn-01070882-a	occasional	occasional	occurring from time to time	
oewn-01071227-s	s	dul:Quality	A1_satellite_inherits_head	inherited from head oewn-01070882-a	rare	rare	recurring only at long intervals	
oewn-01071383-a	a	dul:Quality	A5_adj_head_default	adj.all head default	fresh	fresh	recently made, produced, or harvested	
oewn-01071719-s	s	dul:Quality	A1_satellite_inherits_head	inherited from head oewn-01071383-a	caller	caller	fresh	
oewn-01071811-s	s	dul:Quality	A1_satellite_inherits_head	inherited from head oewn-01071383-a	crisp	crisp	pleasingly firm and fresh	
oewn-01071924-s	s	dul:Quality	A1_satellite_inherits_head	inherited from head oewn-01071383-a	fresh-cut	fresh-cut	cut recently	
oewn-01072013-s	s	dul:Quality	A1_satellite_inherits_head	inherited from head oewn-01071383-a	good	good|unspoiled|unspoilt	not left to spoil	
oewn-01072130-s	s	dul:Quality	A1_satellite_inherits_head	inherited from head oewn-01071383-a	undecomposed	undecomposed|incorrupt	not decayed	
oewn-01072212-s	s	dul:Quality	A1_satellite_inherits_head	inherited from head oewn-01071383-a	hot	hot	made recently	
oewn-01072287-s	s	dul:Quality	A1_satellite_inherits_head	inherited from head oewn-01071383-a	new-made	new-made	newly made	
oewn-01072383-s	s	dul:Quality	A1_satellite_inherits_head	inherited from head oewn-01071383-a	strong	strong|warm	freshly made or left	
oewn-01072500-a	a	dul:Quality	A5_adj_head_default	adj.all head default	stale	stale	lacking freshness, palatability, or showing deterioration from age	
oewn-01072943-s	s	dul:Quality	A1_satellite_inherits_head	inherited from head oewn-01072500-a	addled	addled	(of eggs) no longer edible	
oewn-01073039-s	s	dul:Quality	A1_satellite_inherits_head	inherited from head oewn-01072500-a	bad	bad|spoiled|spoilt	(of foodstuffs) not in an edible or usable condition	
oewn-01073210-s	s	dul:Quality	A1_satellite_inherits_head	inherited from head oewn-01072500-a	cold	cold	having lost freshness through passage of time	
oewn-01073363-s	s	dul:Quality	A1_satellite_inherits_head	inherited from head oewn-01072500-a	day-old	day-old	not fresh today	
oewn-01073471-s	s	dul:Quality	A1_satellite_inherits_head	inherited from head oewn-01072500-a	hard	hard	dried out	
oewn-01073579-s	s	dul:Quality	A1_satellite_inherits_head	inherited from head oewn-01072500-a	flyblown	flyblown|maggoty	spoiled and covered with eggs and larvae of flies	
oewn-01073758-s	s	dul:Quality	A1_satellite_inherits_head	inherited from head oewn-01072500-a	moldy	moldy|mouldy|musty	covered with or smelling of mold	
oewn-01073991-s	s	dul:Quality	A1_satellite_inherits_head	inherited from head oewn-01072500-a	rancid	rancid	(used of decomposing oils or fats) having a rank smell or taste usually due to a chemical change or decomposition	
oewn-01074208-s	s	dul:Quality	A1_satellite_inherits_head	inherited from head oewn-01072500-a	rotten	rotten	having decayed or disintegrated; usually implies foulness	
oewn-01074386-s	s	dul:Quality	A1_satellite_inherits_head	inherited from head oewn-01072500-a	corrupt	corrupt|tainted	touched by rot or decay	
oewn-01074514-s	s	dul:Quality	A1_satellite_inherits_head	inherited from head oewn-01072500-a	putrid	putrid	in an advanced state of decomposition and having a foul odor	
oewn-01074737-s	s	dul:Quality	A1_satellite_inherits_head	inherited from head oewn-01072500-a	putrescent	putrescent	becoming putrid	
oewn-01074886-a	a	dul:Quality	A5_adj_head_default	adj.all head default	fresh	fresh	not canned or otherwise preserved	
oewn-01075009-s	s	dul:Quality	A1_satellite_inherits_head	inherited from head oewn-01074886-a	unprocessed	unprocessed	not treated or prepared by a special process	
oewn-01075111-a	a	dul:Quality	A5_adj_head_default	adj.all head default	preserved	preserved	prevented from decaying or spoiling and prepared for future use	
oewn-01075482-s	s	dul:Quality	A1_satellite_inherits_head	inherited from head oewn-01075111-a	aged	aged|cured	(used of tobacco) aging as a preservative process	
oewn-01075629-s	s	dul:Quality	A1_satellite_inherits_head	inherited from head oewn-01075111-a	candied	candied|crystalized|crystalised|glace	(used especially of fruits) preserved by coating with or allowing to absorb sugar	
oewn-01075800-s	s	dul:Quality	A1_satellite_inherits_head	inherited from head oewn-01075111-a	canned	canned|tinned	sealed in a can or jar	
oewn-01075884-s	s	dul:Quality	A1_satellite_inherits_head	inherited from head oewn-01075111-a	corned	corned|cured	(used especially of meat) cured in brine	
oewn-01075985-s	s	dul:Quality	A1_satellite_inherits_head	inherited from head oewn-01075111-a	cured	cured	(used of hay e.g.) allowed to dry	
oewn-01076070-s	s	dul:Quality	A1_satellite_inherits_head	inherited from head oewn-01075111-a	dried	dried|dehydrated|desiccated	preserved by removing natural moisture	
oewn-01076274-s	s	dul:Quality	A1_satellite_inherits_head	inherited from head oewn-01075111-a	flash-frozen	flash-frozen|quick-frozen|frozen	(used of foods) preserved by freezing sufficiently rapidly to retain flavor and nutritional value	
oewn-01076470-s	s	dul:Quality	A1_satellite_inherits_head	inherited from head oewn-01075111-a	freeze-dried	freeze-dried	preserved by freezing and drying in a vacuum	
oewn-01076596-s	s	dul:Quality	A1_satellite_inherits_head	inherited from head oewn-01075111-a	lyophilized	lyophilized|lyophilised|freeze-dried	used of tissue or blood or serum or other biological substances; dried by freezing in a high vacuum	
oewn-01076782-s	s	dul:Quality	A1_satellite_inherits_head	inherited from head oewn-01075111-a	pickled	pickled	(used of foods) preserved in a pickling liquid	
oewn-01076882-s	s	dul:Quality	A1_satellite_inherits_head	inherited from head oewn-01075111-a	potted	potted	preserved in a pot or can or jar	
oewn-01076999-s	s	dul:Quality	A1_satellite_inherits_head	inherited from head oewn-01075111-a	salted	salted|salt-cured|brine-cured	(used especially of meats) preserved in salt	
oewn-01077123-s	s	dul:Quality	A1_satellite_inherits_head	inherited from head oewn-01075111-a	smoked	smoked|smoke-cured|smoke-dried	(used especially of meats and fish) dried and cured by hanging in wood smoke	
oewn-01077280-s	s	dul:Quality	A1_satellite_inherits_head	inherited from head oewn-01075111-a	sun-dried	sun-dried|sundried	dried naturally by the sun	
oewn-01077395-a	a	dul:Quality	A5_adj_head_default	adj.all head default	fresh	fresh|sweet	not containing or composed of salt water	
oewn-01077510-a	a	dul:Quality	A5_adj_head_default	adj.all head default	salty	salty	containing or filled with salt	
oewn-01077750-s	s	dul:Quality	A1_satellite_inherits_head	inherited from head oewn-01077510-a	brackish	brackish|briny	slightly salty (especially from containing a mixture of seawater and fresh water)	
oewn-01078023-s	s	dul:Quality	A1_satellite_inherits_head	inherited from head oewn-01077510-a	saliferous	saliferous	containing or yielding salt	
oewn-01078146-s	s	dul:Quality	A1_satellite_inherits_head	inherited from head oewn-01077510-a	saline	saline	containing salt	
oewn-01078270-s	s	dul:Quality	A1_satellite_inherits_head	inherited from head oewn-01077510-a	saltish	saltish	somewhat salty	
oewn-01078338-a	a	dul:Quality	A5_adj_head_default	adj.all head default	friendly	friendly	characteristic of or befitting a friend	
oewn-01078866-s	s	dul:Quality	A1_satellite_inherits_head	inherited from head oewn-01078338-a	affable	affable|amiable|cordial|genial	diffusing warmth and friendliness	
oewn-01079212-s	s	dul:Quality	A1_satellite_inherits_head	inherited from head oewn-01078338-a	chummy	chummy|matey|pally|palsy-walsy	(used colloquially) having the relationship of friends or pals	
oewn-01079430-s	s	dul:Quality	A1_satellite_inherits_head	inherited from head oewn-01078338-a	companionate	companionate	like a companion	
oewn-01079552-s	s	dul:Quality	A1_satellite_inherits_head	inherited from head oewn-01078338-a	comradely	comradely|hail-fellow|hail-fellow-well-met	heartily friendly and congenial	
oewn-01079712-s	s	dul:Quality	A1_satellite_inherits_head	inherited from head oewn-01078338-a	couthie	couthie|couthy	(chiefly Scottish) agreeable and genial	
oewn-01079833-s	s	dul:Quality	A1_satellite_inherits_head	inherited from head oewn-01078338-a	cozy	cozy|intimate|informal|cosy	having or fostering a warm or friendly and informal atmosphere	
oewn-01080123-s	s	dul:Quality	A1_satellite_inherits_head	inherited from head oewn-01078338-a	neighborly	neighborly|neighbourly	exhibiting the qualities expected in a friendly neighbor	
oewn-01080322-s	s	dul:Quality	A1_satellite_inherits_head	inherited from head oewn-01078338-a	social	social	marked by friendly companionship with others	
oewn-01080481-a	a	dul:Quality	A5_adj_head_default	adj.all head default	unfriendly	unfriendly	not disposed to friendship or friendliness	
oewn-01080846-s	s	dul:Quality	A1_satellite_inherits_head	inherited from head oewn-01080481-a	beetle-browed	beetle-browed|scowling	sullen or unfriendly in appearance	
oewn-01080951-s	s	dul:Quality	A1_satellite_inherits_head	inherited from head oewn-01080481-a	chilly	chilly	lacking warmth of feeling	
oewn-01081050-s	s	dul:Quality	A1_satellite_inherits_head	inherited from head oewn-01080481-a	uncordial	uncordial	lacking warmth or friendliness	
oewn-01081173-s	s	dul:Quality	A1_satellite_inherits_head	inherited from head oewn-01080481-a	unneighborly	unneighborly|unneighbourly	not exhibiting the qualities expected in a friendly neighbor	
oewn-01081326-a	a	dul:Quality	A5_adj_head_default	adj.all head default	friendly	friendly	of or belonging to your own country's forces or those of an ally	
oewn-01081517-a	a	dul:Quality	A5_adj_head_default	adj.all head default	hostile	hostile	not belonging to your own country's forces or those of an ally	
oewn-01081683-a	a	dul:Quality	A5_adj_head_default	adj.all head default	friendly	friendly	easy to understand or use	
oewn-01081866-a	a	dul:Quality	A5_adj_head_default	adj.all head default	unfriendly	unfriendly	not easy to understand or use	
oewn-01081990-a	a	dul:PhysicalAttribute	A4_physical_attr_keyword	gloss has physical-attribute marker	frozen	frozen	turned into ice; affected by freezing or by long and severe cold	
oewn-01082361-s	s	dul:PhysicalAttribute	A1_satellite_inherits_head	inherited from head oewn-01081990-a	frostbitten	frostbitten	injured by freezing or partial freezing	
oewn-01082528-s	s	dul:PhysicalAttribute	A1_satellite_inherits_head	inherited from head oewn-01081990-a	frost-bound	frost-bound	(of the ground) made hard by frost	
oewn-01082620-s	s	dul:PhysicalAttribute	A1_satellite_inherits_head	inherited from head oewn-01081990-a	glaciated	glaciated	covered with ice (as by a glacier) or affected by glacial action	
oewn-01082740-s	s	dul:PhysicalAttribute	A1_satellite_inherits_head	inherited from head oewn-01081990-a	icebound	icebound	locked in by ice	
oewn-01082831-s	s	dul:PhysicalAttribute	A1_satellite_inherits_head	inherited from head oewn-01081990-a	ice-clogged	ice-clogged	obstructed by ice	
oewn-01082928-s	s	dul:PhysicalAttribute	A1_satellite_inherits_head	inherited from head oewn-01081990-a	icy	icy	covered with or containing or consisting of ice	
oewn-01083084-s	s	dul:PhysicalAttribute	A1_satellite_inherits_head	inherited from head oewn-01081990-a	sleety	sleety	consisting of or of the nature of frozen or partially frozen rain	
oewn-01083220-s	s	dul:PhysicalAttribute	A1_satellite_inherits_head	inherited from head oewn-01081990-a	unthawed	unthawed	still frozen	
oewn-01083371-a	a	dul:Quality	A5_adj_head_default	adj.all head default	unfrozen	unfrozen	not frozen	
oewn-01083545-s	s	dul:Quality	A1_satellite_inherits_head	inherited from head oewn-01083371-a	ice-free	ice-free	free of ice and open to travel	
oewn-01083666-s	s	dul:Quality	A1_satellite_inherits_head	inherited from head oewn-01083371-a	liquescent	liquescent|melting	becoming liquid	
oewn-01083748-s	s	dul:Quality	A1_satellite_inherits_head	inherited from head oewn-01083371-a	slushy	slushy	being or resembling melting snow	
oewn-01083885-s	s	dul:Quality	A1_satellite_inherits_head	inherited from head oewn-01083371-a	thawed	thawed	no longer frozen	
oewn-01083985-a	a	dul:Quality	A5_adj_head_default	adj.all head default	fruitful	fruitful	productive or conducive to producing in abundance	
oewn-01084405-s	s	dul:Quality	A1_satellite_inherits_head	inherited from head oewn-01083985-a	berried	berried|baccate|bacciferous	producing or bearing berries	
oewn-01084511-s	s	dul:Quality	A1_satellite_inherits_head	inherited from head oewn-01083985-a	blue-fruited	blue-fruited	bearing blue fruit	
oewn-01084588-s	s	dul:Quality	A1_satellite_inherits_head	inherited from head oewn-01083985-a	bountiful	bountiful|plentiful	producing in abundance	
oewn-01084756-s	s	dul:Quality	A1_satellite_inherits_head	inherited from head oewn-01083985-a	breeding	breeding	producing offspring or set aside especially for producing offspring	
oewn-01084951-s	s	dul:Quality	A1_satellite_inherits_head	inherited from head oewn-01083985-a	dark-fruited	dark-fruited	bearing dark fruit	
oewn-01085028-s	s	dul:Quality	A1_satellite_inherits_head	inherited from head oewn-01083985-a	fat	fat|fertile|productive|rich	marked by great fruitfulness	
oewn-01085280-s	s	dul:Quality	A1_satellite_inherits_head	inherited from head oewn-01083985-a	generative	generative|procreative|reproductive	producing new life or offspring	
oewn-01085605-s	s	dul:Quality	A1_satellite_inherits_head	inherited from head oewn-01083985-a	high-yield	high-yield	yielding a large amount of agricultural or industrial production	
oewn-01085726-s	s	dul:Quality	A1_satellite_inherits_head	inherited from head oewn-01083985-a	oval-fruited	oval-fruited	bearing oval fruit	
oewn-01085803-s	s	dul:Quality	A1_satellite_inherits_head	inherited from head oewn-01083985-a	prolific	prolific|fertile	bearing in abundance especially offspring	
oewn-01085990-s	s	dul:Quality	A1_satellite_inherits_head	inherited from head oewn-01083985-a	red-fruited	red-fruited	bearing red fruit	
oewn-01086065-s	s	dul:Quality	A1_satellite_inherits_head	inherited from head oewn-01083985-a	round-fruited	round-fruited	bearing round fruit	
oewn-01086144-s	s	dul:Quality	A1_satellite_inherits_head	inherited from head oewn-01083985-a	small-fruited	small-fruited	bearing small fruit	
oewn-01086223-a	a	dul:Quality	A5_adj_head_default	adj.all head default	unfruitful	unfruitful	not fruitful; not conducive to abundant production	
oewn-01086402-s	s	dul:Quality	A1_satellite_inherits_head	inherited from head oewn-01086223-a	abortive	abortive|stillborn|unsuccessful	failing to accomplish an intended result	
oewn-01086613-s	s	dul:Quality	A1_satellite_inherits_head	inherited from head oewn-01086223-a	acarpous	acarpous	producing no fruit	
oewn-01086686-s	s	dul:Quality	A1_satellite_inherits_head	inherited from head oewn-01086223-a	childless	childless	without offspring	
oewn-01086845-a	a	dul:Quality	A5_adj_head_default	adj.all head default	full	full	containing as much or as many as is possible or normal	
oewn-01087442-s	s	dul:Quality	A1_satellite_inherits_head	inherited from head oewn-01086845-a	afloat	afloat|awash|flooded|inundated|overflowing	covered with water	
oewn-01087711-s	s	dul:Quality	A1_satellite_inherits_head	inherited from head oewn-01086845-a	air-filled	air-filled	full of air	
oewn-01087779-s	s	dul:Quality	A1_satellite_inherits_head	inherited from head oewn-01086845-a	brimful	brimful|brimfull|brimming	filled up	
oewn-01087985-s	s	dul:Quality	A1_satellite_inherits_head	inherited from head oewn-01086845-a	chockablock	chockablock|chock-full|chockful|choke-full|chuck-full|cram full	packed full to capacity	
oewn-01088174-s	s	dul:Quality	A1_satellite_inherits_head	inherited from head oewn-01086845-a	congested	congested|engorged	overfull as with blood	
oewn-01088263-s	s	dul:Quality	A1_satellite_inherits_head	inherited from head oewn-01086845-a	egg-filled	egg-filled	full of eggs	
oewn-01088332-s	s	dul:Quality	A1_satellite_inherits_head	inherited from head oewn-01086845-a	filled	filled	(usually followed by ‘with’ or used as a combining form) generously supplied with	
oewn-01088588-s	s	dul:Quality	A1_satellite_inherits_head	inherited from head oewn-01086845-a	fraught	fraught|pregnant	filled with or attended with	
oewn-01088785-s	s	dul:Quality	A1_satellite_inherits_head	inherited from head oewn-01086845-a	gas-filled	gas-filled	full of a gas	
oewn-01088855-s	s	dul:Quality	A1_satellite_inherits_head	inherited from head oewn-01086845-a	glutted	glutted|overfull	exceeding demand	
oewn-01088956-s	s	dul:Quality	A1_satellite_inherits_head	inherited from head oewn-01086845-a	heavy	heavy|weighed down	full of; bearing great weight	
oewn-01089130-s	s	dul:Quality	A1_satellite_inherits_head	inherited from head oewn-01086845-a	instinct	instinct|replete|imbued	(followed by ‘with’) deeply filled or permeated	
oewn-01089350-s	s	dul:Quality	A1_satellite_inherits_head	inherited from head oewn-01086845-a	laden	laden|loaded|ladened	filled with a great quantity	
oewn-01089537-s	s	dul:Quality	A1_satellite_inherits_head	inherited from head oewn-01086845-a	overladen	overladen|overloaded	loaded past capacity	
oewn-01089626-s	s	dul:Quality	A1_satellite_inherits_head	inherited from head oewn-01086845-a	riddled	riddled	spread throughout	
oewn-01089731-s	s	dul:Quality	A1_satellite_inherits_head	inherited from head oewn-01086845-a	sperm-filled	sperm-filled	filled with sperm	
oewn-01089807-s	s	dul:Quality	A1_satellite_inherits_head	inherited from head oewn-01086845-a	stuffed	stuffed	filled with something	
oewn-01089902-s	s	dul:Quality	A1_satellite_inherits_head	inherited from head oewn-01086845-a	stuffed	stuffed	crammed with food	
oewn-01090028-s	s	dul:Quality	A1_satellite_inherits_head	inherited from head oewn-01086845-a	untouched	untouched|untasted	still full	
oewn-01090142-s	s	dul:Quality	A1_satellite_inherits_head	inherited from head oewn-01086845-a	well-lined	well-lined	full of money	
oewn-01090234-a	a	dul:Quality	A5_adj_head_default	adj.all head default	empty	empty	holding or containing nothing	
oewn-01090604-s	s	dul:Quality	A1_satellite_inherits_head	inherited from head oewn-01090234-a	bare	bare|stripped	having everything extraneous removed including contents	
oewn-01090782-s	s	dul:Quality	A1_satellite_inherits_head	inherited from head oewn-01090234-a	blank	blank|clean|white	(of a surface) not written or printed on	
oewn-01090989-s	s	dul:Quality	A1_satellite_inherits_head	inherited from head oewn-01090234-a	empty-handed	empty-handed	carrying nothing in the hands	
oewn-01091077-s	s	dul:Quality	A1_satellite_inherits_head	inherited from head oewn-01090234-a	glassy	glassy|glazed	(used of eyes) lacking liveliness	
oewn-01091246-s	s	dul:Quality	A1_satellite_inherits_head	inherited from head oewn-01090234-a	lifeless	lifeless	destitute or having been emptied of life or living beings	
oewn-01091446-s	s	dul:Quality	A1_satellite_inherits_head	inherited from head oewn-01090234-a	looted	looted|pillaged|plundered|ransacked	wrongfully emptied or stripped of anything of value	
oewn-01091666-s	s	dul:Quality	A1_satellite_inherits_head	inherited from head oewn-01090234-a	vacant	vacant	without an occupant or incumbent	
oewn-01091954-s	s	dul:Quality	A1_satellite_inherits_head	inherited from head oewn-01090234-a	vacuous	vacuous	devoid of matter	
oewn-01092043-s	s	dul:Quality	A1_satellite_inherits_head	inherited from head oewn-01090234-a	void	void	containing nothing	
oewn-01092170-a	a	dul:Quality	A5_adj_head_default	adj.all head default	drained	drained	emptied or exhausted of (as by drawing off e.g. water or other liquid)	
oewn-01092441-s	s	dul:Quality	A1_satellite_inherits_head	inherited from head oewn-01092170-a	empty	empty	emptied of emotion	
oewn-01092573-s	s	dul:Quality	A1_satellite_inherits_head	inherited from head oewn-01092170-a	exhausted	exhausted	drained physically	
oewn-01092719-a	a	dul:Quality	A5_adj_head_default	adj.all head default	undrained	undrained	not drained	
oewn-01092828-a	a	dul:Quality	A5_adj_head_default	adj.all head default	full-time	full-time	for the entire time appropriate to an activity	
oewn-01092967-s	s	dul:Quality	A1_satellite_inherits_head	inherited from head oewn-01092828-a	regular	regular	officially full-time	
oewn-01093061-a	a	dul:Quality	A5_adj_head_default	adj.all head default	part-time	part-time|part time	involving less than the standard or customary time for an activity	
oewn-01093309-s	s	dul:Quality	A1_satellite_inherits_head	inherited from head oewn-01093061-a	half-time	half-time	involving half the standard or customary time for an activity	
oewn-01093468-s	s	dul:Quality	A1_satellite_inherits_head	inherited from head oewn-01093061-a	irregular	irregular|temporary	lacking continuity or regularity	
oewn-01093642-s	s	dul:Quality	A1_satellite_inherits_head	inherited from head oewn-01093061-a	odd-job	odd-job	not regular or skilled	
oewn-01093754-s	s	dul:Quality	A1_satellite_inherits_head	inherited from head oewn-01093061-a	underemployed	underemployed	employed only part-time when one needs full-time employment or not making full use of your skills	
oewn-01094001-a	a	dul:Quality	A5_adj_head_default	adj.all head default	functional	functional	designed for or capable of a particular function or use	
oewn-01094286-s	s	dul:Quality	A1_satellite_inherits_head	inherited from head oewn-01094001-a	structural	structural	affecting or involved in structure or construction	
oewn-01094513-s	s	dul:Quality	A1_satellite_inherits_head	inherited from head oewn-01094001-a	utilitarian	utilitarian|useful	having a useful function	
